"country","year","Party","Seats","Banzhaf Power Index","perc of seats","Shapley-Shubik Power Index"
"Belgium","1991","PRL",20,0.0921121730911,0.0943396226415,0.091144966145
"Belgium","1991","PSC",18,0.0799285789308,0.0849056603774,0.079131979132
"Belgium","1991","VLBLOK",12,0.0559815145468,0.0566037735849,0.0545648795649
"Belgium","1991","ECOLO",10,0.0454784161328,0.0471698113208,0.0441391941392
"Belgium","1991","CVP",39,0.195882785422,0.183962264151,0.197927072927
"Belgium","1991","VU",10,0.0454784161328,0.0471698113208,0.0441391941392
"Belgium","1991","AGALEV",7,0.0309841403214,0.0330188679245,0.0305389055389
"Belgium","1991","ROSSEM",3,0.0148093687638,0.0141509433962,0.0139804639805
"Belgium","1991","FDF/PPW",3,0.0148093687638,0.0141509433962,0.0139804639805
"Belgium","1991","FN",1,0.00514651822288,0.00471698113208,0.00474525474525
"Belgium","1991","PVV",26,0.120470538809,0.122641509434,0.122097347097
"Belgium","1991","PS",35,0.16794454364,0.165094339623,0.171484071484
"Belgium","1995","VLBLOK",11,0.0699481865285,0.0733333333333,0.0694805194805
"Belgium","1995","CVP",29,0.204663212435,0.193333333333,0.206782106782
"Belgium","1995","VLD",21,0.141623488774,0.14,0.142496392496
"Belgium","1995","PS",21,0.141623488774,0.14,0.142496392496
"Belgium","1995","SP",20,0.134715025907,0.133333333333,0.135353535354
"Belgium","1995","PRL/FDF",18,0.120034542314,0.12,0.118686868687
"Belgium","1995","PSC",12,0.0742659758204,0.08,0.0734487734488
"Belgium","1995","ECOLO",6,0.0388601036269,0.04,0.0385281385281
"Belgium","1995","AGALEV",5,0.0319516407599,0.0333333333333,0.0313852813853
"Belgium","1995","VU",5,0.0319516407599,0.0333333333333,0.0313852813853
"Belgium","1995","FN",2,0.0103626943005,0.0133333333333,0.00995670995671
"Belgium","1999","VU/ID",8,0.0492332526231,0.0533333333333,0.0481962481962
"Belgium","1999","AGALEV",9,0.0589184826473,0.06,0.0577200577201
"Belgium","1999","PSC",10,0.0645682001614,0.0666666666667,0.0632756132756
"Belgium","1999","ECOLO",11,0.0750605326877,0.0733333333333,0.0739898989899
"Belgium","1999","VLD",23,0.158192090395,0.153333333333,0.160101010101
"Belgium","1999","CVP",22,0.146892655367,0.146666666667,0.148593073593
"Belgium","1999","PS",19,0.128329297821,0.126666666667,0.129148629149
"Belgium","1999","PRL/FDF",18,0.117029862793,0.12,0.117640692641
"Belgium","1999","VLBLOK",15,0.102502017756,0.1,0.102561327561
"Belgium","1999","FN",1,0.00807102502018,0.00666666666667,0.00772005772006
"Belgium","1999","SP",14,0.091202582728,0.0933333333333,0.0910533910534
"Belgium","2003","NVA",1,0.0050022737608,0.00666666666667,0.00479797979798
"Belgium","2003","FN",1,0.0050022737608,0.00666666666667,0.00479797979798
"Belgium","2003","CD&V",21,0.150522964984,0.14,0.148845598846
"Belgium","2003","SP.A.SPIRIT",23,0.159618008186,0.153333333333,0.158766233766
"Belgium","2003","MR",24,0.167803547067,0.16,0.166702741703
"Belgium","2003","CDH",8,0.0486584811278,0.0533333333333,0.0504329004329
"Belgium","2003","VLBLOK",7,0.0477489768076,0.0466666666667,0.0492424242424
"Belgium","2003","ECOLO",4,0.0204638472033,0.0266666666667,0.0214646464646
"Belgium","2003","VLD",25,0.173260572988,0.166666666667,0.172258297258
"Belgium","2003","PS",25,0.173260572988,0.166666666667,0.172258297258
"Belgium","2003","PSB",11,0.0486584811278,0.0733333333333,0.0504329004329
"Belgium","2007","ECOLO",8,0.051716644937,0.0533333333333,0.0512987012987
"Belgium","2007","CDH",10,0.0656236418948,0.0666666666667,0.0651875901876
"Belgium","2007","SP.A.SPIRIT",14,0.0882225119513,0.0933333333333,0.087012987013
"Belgium","2007","VLAAMS BELANG",17,0.109083007388,0.113333333333,0.108838383838
"Belgium","2007","OPEN VLD",18,0.117774880487,0.12,0.118362193362
"Belgium","2007","PS",20,0.129943502825,0.133333333333,0.130663780664
"Belgium","2007","MR",23,0.155149934811,0.153333333333,0.156854256854
"Belgium","2007","CD&V NVA",30,0.217731421121,0.2,0.219155844156
"Belgium","2007","FN",1,0.00651890482399,0.00666666666667,0.00606060606061
"Belgium","2007","GROEN",4,0.025641025641,0.0266666666667,0.0247113997114
"Belgium","2007","LIJST DEDECKER",5,0.0325945241199,0.0333333333333,0.0318542568543
"Bermuda","1989","Progressive Labour Party [PLP]",15,0,0.375,0
"Bermuda","1989","United Bermuda Party [UBP]",23,1,0.575,1
"Bermuda","1989","Independent Candidate [IND]",1,0,0.025,0
"Bermuda","1989","National Liberal Party [NLP]",1,0,0.025,0
"Bermuda","1993","United Bermuda Party [UBP]",22,1,0.55,1
"Bermuda","1993","Progressive Labour Party [PLP]",18,0,0.45,0
"Bermuda","1998","Progressive Labour Party [PLP]",26,1,0.65,1
"Bermuda","1998","United Bermuda Party [UBP]",14,0,0.35,0
"Bolivia","1989","Movement of the Revolutionary Left",32,0.333333333333,0.260162601626,0.333333333333
"Bolivia","1989","Conscious of the Homeland",9,0,0.0731707317073,0
"Bolivia","1989","Nationalist Revolutionary Movement",35,0.333333333333,0.284552845528,0.333333333333
"Bolivia","1989","United Left",10,0,0.0813008130081,0
"Bolivia","1989","Democratic Nationalist Action",37,0.333333333333,0.30081300813,0.333333333333
"Bolivia","1993","Axis of Homeland Convergence",1,0.00510204081633,0.00769230769231,0.00595238095238
"Bolivia","1993","Conscious of the Homeland",13,0.158163265306,0.1,0.14880952381
"Bolivia","1993","Unity of Civic Solidarity",20,0.168367346939,0.153846153846,0.172619047619
"Bolivia","1993","Patriotic Agreement",35,0.168367346939,0.269230769231,0.172619047619
"Bolivia","1993","Free Bolivia Movement",7,0.00510204081633,0.0538461538462,0.00595238095238
"Bolivia","1993","Renewal Bolivian Alliance",1,0.00510204081633,0.00769230769231,0.00595238095238
"Bolivia","1993","National Revolutionary Movement - Tupaj Katari Revolutionary Movement of Liberation",52,0.484693877551,0.4,0.482142857143
"Bolivia","1993","Alternative of Democratic Socialism",1,0.00510204081633,0.00769230769231,0.00595238095238
"Bolivia","1997","Conscious of the Homeland",13,0.186440677966,0.191176470588,0.185714285714
"Bolivia","1997","Movement of the Revolutionary Left",12,0.152542372881,0.176470588235,0.152380952381
"Bolivia","1997","Unity of Civic Solidarity",5,0.0847457627119,0.0735294117647,0.0857142857143
"Bolivia","1997","Free Bolivia Movement",4,0.0508474576271,0.0588235294118,0.052380952381
"Bolivia","1997","United Left",4,0.0508474576271,0.0588235294118,0.052380952381
"Bolivia","1997","Democratic Nationalist Action",18,0.322033898305,0.264705882353,0.319047619048
"Bolivia","1997","Nationalist Revolutionary Movement",12,0.152542372881,0.176470588235,0.152380952381
"Bolivia","2002","New Republican Power",5,0.0636363636364,0.0724637681159,0.05
"Bolivia","2002","Indigenous Pachakuti Movement",5,0.0636363636364,0.0724637681159,0.05
"Bolivia","2002","Democratic Nationalist Action",4,0.0272727272727,0.0579710144928,0.0214285714286
"Bolivia","2002","Socialist Party",1,0.0272727272727,0.0144927536232,0.0214285714286
"Bolivia","2002","Nationalist Revolutionary Movement",1,0.0272727272727,0.0144927536232,0.0214285714286
"Bolivia","2002","Movement of the Revolutionary Left-New Majority",15,0.209090909091,0.217391304348,0.216666666667
"Bolivia","2002","Nationalist Revolutionary Movement-Free Bolivia Movement",24,0.372727272727,0.347826086957,0.402380952381
"Bolivia","2002","Movement toward Socialism",14,0.209090909091,0.202898550725,0.216666666667
"Bosnia-Herzegovina","1996","Party for BiH",2,0.0652173913043,0.047619047619,0.0666666666667
"Bosnia-Herzegovina","1996","United List of Bosnia Herzegovina",2,0.0652173913043,0.047619047619,0.0666666666667
"Bosnia-Herzegovina","1996","Democratic Action Party",19,0.586956521739,0.452380952381,0.566666666667
"Bosnia-Herzegovina","1996","Croatian Democratic Community BiH",8,0.108695652174,0.190476190476,0.116666666667
"Bosnia-Herzegovina","1996","Serbian Democratic Party",9,0.108695652174,0.214285714286,0.116666666667
"Bosnia-Herzegovina","1996","Peoples Union for Peace",2,0.0652173913043,0.047619047619,0.0666666666667
"Bosnia-Herzegovina","1998","Sloga Coalition [SLOGA]",4,0.0573065902579,0.0952380952381,0.0734126984127
"Bosnia-Herzegovina","1998","SDS List [SDS Lista]",4,0.0573065902579,0.0952380952381,0.0734126984127
"Bosnia-Herzegovina","1998","Radical Party of the Republic of Serbia",1,0.0143266475645,0.0238095238095,0.015873015873
"Bosnia-Herzegovina","1998","Social Democrats BiH",2,0.025787965616,0.047619047619,0.0257936507937
"Bosnia-Herzegovina","1998","Serbian Radical Party of Republic of Serbia",2,0.025787965616,0.047619047619,0.0257936507937
"Bosnia-Herzegovina","1998","New Croatian Initiative-Croatian Christian Democratic Union",1,0.0143266475645,0.0238095238095,0.015873015873
"Bosnia-Herzegovina","1998","Democratic Peoples Community",1,0.0143266475645,0.0238095238095,0.015873015873
"Bosnia-Herzegovina","1998","Coalition for a United and Democratic BiH",17,0.67335243553,0.404761904762,0.593253968254
"Bosnia-Herzegovina","1998","Croatian Democratic Community BiH",6,0.0601719197708,0.142857142857,0.0873015873016
"Bosnia-Herzegovina","1998","Social Democratic Party BiH",4,0.0573065902579,0.0952380952381,0.0734126984127
"Bosnia-Herzegovina","2006","Social Democratic Party BiH",4,0.116,0.133333333333,0.117857142857
"Bosnia-Herzegovina","2006","Democratic Action Party",7,0.244,0.233333333333,0.246428571429
"Bosnia-Herzegovina","2006","Alliance of Independent Social Democrats-Milorad Dodik",6,0.204,0.2,0.205952380952
"Bosnia-Herzegovina","2006","Party for BiH",6,0.204,0.2,0.205952380952
"Bosnia-Herzegovina","2006","Croatian Unity",1,0.028,0.0333333333333,0.025
"Bosnia-Herzegovina","2006","Democratic Peoples Community",1,0.028,0.0333333333333,0.025
"Bosnia-Herzegovina","2006","HDZ-Croatian Coalition-HNZ",2,0.068,0.0666666666667,0.0654761904762
"Bosnia-Herzegovina","2006","Serbian Democratic Party",3,0.108,0.1,0.108333333333
"Botswana","1999","Botswana National Front [BNF]",6,0,0.15,0
"Botswana","1999","Botswana Democratic Party [BDP]",33,1,0.825,1
"Botswana","1999","Botswana Congress Party [BCP]",1,0,0.025,0
"Bulgaria","1994","Peoples Union: BAPU-DP",18,0,0.075,0
"Bulgaria","1994","Bulgarian Business Block",13,0,0.0541666666667,0
"Bulgaria","1994","Movement for Rights and Freedoms [MRF]",15,0,0.0625,0
"Bulgaria","1994","Coalition-BSP BAPU Al. Stamboliyski and PC Ecoglasnost",125,1,0.520833333333,1
"Bulgaria","1994","Union of the Democratic Forces",69,0,0.2875,0
"Bulgaria","1997","United Democratic Forces: DP-BAPU-BSDP",137,1,0.570833333333,1
"Bulgaria","1997","Bulgarian Business Block",12,0,0.05,0
"Bulgaria","1997","Euroleft",14,0,0.0583333333333,0
"Bulgaria","1997","Union For National Salvation-BAPU-Nikola Petkov Movement for Rights and Freedoms Green Party Party of the Democratic Center New Choice Federation Kingdom of Bulgaria",19,0,0.0791666666667,0
"Bulgaria","1997","Democratic Left-BSP PC Ecoglasnost",58,0,0.241666666667,0
"Bulgaria","2001","National Movement of Simeon II",120,0.7,0.5,0.75
"Bulgaria","2001","United Democratic Forces-Peoples Union BSDP and National MRF",51,0.1,0.2125,0.0833333333333
"Bulgaria","2001","Coalition for Bulgaria - BSP",48,0.1,0.2,0.0833333333333
"Bulgaria","2001","MRF-Liberal Union-EuroRoma",21,0.1,0.0875,0.0833333333333
"Bulgaria","2005","Democrats for Strong Bulgaria",17,0.0619469026549,0.0708333333333,0.0571428571429
"Bulgaria","2005","Union of Free Democrats Agrarian Union-Peoples Union [BZNS] BMRO-Bulgarian National Movement-Coalition Bulgarian Peoples Union",13,0.0442477876106,0.0541666666667,0.0404761904762
"Bulgaria","2005","Coalition for Bulgaria*",82,0.380530973451,0.341666666667,0.390476190476
"Bulgaria","2005","National Movement of Simeon II",53,0.185840707965,0.220833333333,0.207142857143
"Bulgaria","2005","Movement for Rights and Freedoms [MRF]",34,0.150442477876,0.141666666667,0.140476190476
"Bulgaria","2005","Ataka Coalition",21,0.0973451327434,0.0875,0.0904761904762
"Bulgaria","2005","Union of Democratic Forces-Democratic Party-Movement Gergovden-BZNS NS-BZNS DROM",20,0.0796460176991,0.0833333333333,0.0738095238095
"Canada","1945","CCF",28,0,0.115226337449,0
"Canada","1945","Progressive Conservative",65,0,0.267489711934,0
"Canada","1945","Liberal",122,1,0.502057613169,1
"Canada","1945","Independent Liberal",4,0,0.0164609053498,0
"Canada","1945","Independent",6,0,0.0246913580247,0
"Canada","1945","Social Credit",13,0,0.0534979423868,0
"Canada","1945","Independent Conservative",1,0,0.00411522633745,0
"Canada","1945","Labour Progressive",1,0,0.00411522633745,0
"Canada","1945","Independent CCF",1,0,0.00411522633745,0
"Canada","1945","Bloc Populaire",2,0,0.0082304526749,0
"Canada","1949","Independent",4,0,0.0153846153846,0
"Canada","1949","Social Credit",10,0,0.0384615384615,0
"Canada","1949","CCF",13,0,0.05,0
"Canada","1949","Independent Liberal",1,0,0.00384615384615,0
"Canada","1949","Progressive Conservative",40,0,0.153846153846,0
"Canada","1949","Liberal",191,1,0.734615384615,1
"Canada","1949","Liberal-Labour",1,0,0.00384615384615,0
"Canada","1953","Independent",3,0,0.0115384615385,0
"Canada","1953","Social Credit",15,0,0.0576923076923,0
"Canada","1953","Independent Liberal",3,0,0.0115384615385,0
"Canada","1953","CCF",23,0,0.0884615384615,0
"Canada","1953","Liberal-Labour",1,0,0.00384615384615,0
"Canada","1953","Liberal",167,1,0.642307692308,1
"Canada","1953","Progressive Conservative",48,0,0.184615384615,0
"Canada","1957","Independent Liberal",2,0.0384615384615,0.00766283524904,0.0333333333333
"Canada","1957","Liberal-Labour",1,0,0.00383141762452,0
"Canada","1957","Social Credit",19,0.115384615385,0.0727969348659,0.1
"Canada","1957","CCF",25,0.192307692308,0.095785440613,0.2
"Canada","1957","Independent",2,0.0384615384615,0.00766283524904,0.0333333333333
"Canada","1957","Liberal",102,0.192307692308,0.390804597701,0.2
"Canada","1957","Progressive Conservative",110,0.423076923077,0.421455938697,0.433333333333
"Canada","1958","Progressive Conservative",206,1,0.783269961977,1
"Canada","1958","Liberal",48,0,0.182509505703,0
"Canada","1958","CCF",8,0,0.0304182509506,0
"Canada","1958","Liberal-Labour",1,0,0.00380228136882,0
